director_name,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,budget,title_year,movie_facebook_likes
Gordon-Levitt,23000,23000,Comedy,Joseph Gordon-Levitt,Don Jon,44265,3000000,2013,33000
Nolan,22000,23000,Action,Christian Bale,Batman Begins,59558,150000000,2005,15000
Nolan,22000,29000,Action,Leonardo DiCaprio,Inception,81115,160000000,2010,175000
Nolan,22000,23000,Action,Christian Bale,The Dark Knight,57802,185000000,2008,37000
Nolan,22000,27000,Action,Tom Hardy,The Dark Knight Rises,106759,250000000,2012,164000
Nolan,22000,11000,Action,Matthew McConaughey,Interstellar,31488,165000000,2014,349000
Nolan,22000,23000,Drama,Christian Bale,The Prestige,63986,40000000,2006,49000
Nolan,22000,14000,Drama,Al Pacino,Insomnia,15658,46000000,2002,0
Fincher,21000,534,Action,Charles S. Dutton,Alien 3,1543,50000000,1992,0
Fincher,21000,10000,Biography,Andrew Garfield,The Social Network,10555,40000000,2010,74000
Fincher,21000,21000,Drama,Robert Downey Jr.,Zodiac,36928,65000000,2007,12000
Fincher,21000,835,Drama,Patrick Fugit,Gone Girl,4348,61000000,2014,146000
Fincher,21000,11000,Drama,Morgan Freeman,Se7en,22678,33000000,1995,39000
Fincher,21000,18000,Drama,Robin Wright,The Girl with the Dragon Tattoo,20388,90000000,2011,54000
Fincher,21000,17000,Drama,Kristen Stewart,Panic Room,18141,48000000,2002,0
Fincher,21000,11000,Drama,Brad Pitt,Fight Club,13209,63000000,1999,48000
Fincher,21000,11000,Drama,Brad Pitt,The Curious Case of Benjamin Button,13333,150000000,2008,23000
Fincher,21000,495,Drama,Deborah Kara Unger,The Game,1397,50000000,1997,25000
Martini,20000,2000,Drama,Kevin Zegers,The Curse of Downers Grove,4968,2000000,2015,0
Washington,18000,18000,Biography,Denzel Washington,Antwone Fisher,20456,12500000,2002,0
Washington,18000,18000,Biography,Denzel Washington,The Great Debaters,22745,15000000,2007,0
Spacey,18000,18000,Biography,Kevin Spacey,Beyond the Sea,23689,23000000,2004,0
Spacey,18000,10000,Drama,Viggo Mortensen,Albino Alligator,13718,5000000,1996,225
Scorsese,17000,17000,Action,ChloÕ‰ Grace Moretz,Hugo,36017,170000000,2011,42000
Scorsese,17000,22000,Biography,Robert De Niro,Casino,24183,52000000,1995,11000
Scorsese,17000,22000,Biography,Robert De Niro,Goodfellas,24783,25000000,1990,25000
Scorsese,17000,29000,Biography,Leonardo DiCaprio,The Aviator,34582,110000000,2004,0
Scorsese,17000,2,Biography,Tenzin Thuthob Tsarong,Kundun,4,28000000,1997,0
Scorsese,17000,22000,Biography,Robert De Niro,Raging Bull,23008,18000000,1980,0
Scorsese,17000,29000,Comedy,Leonardo DiCaprio,The Wolf of Wall Street,46057,100000000,2013,138000
Scorsese,17000,29000,Drama,Leonardo DiCaprio,Gangs of New York,47657,100000000,2002,0
Scorsese,17000,22000,Drama,Robert De Niro,Taxi Driver,23525,1300000,1976,35000
Scorsese,17000,22000,Drama,Robert De Niro,Mean Streets,23737,500000,1973,0
Scorsese,17000,29000,Drama,Leonardo DiCaprio,The Departed,45648,90000000,2006,29000
Scorsese,17000,883,Drama,Irvin Kershner,The Last Temptation of Christ,1934,7000000,1988,0
Scorsese,17000,22000,Drama,Robert De Niro,New York New York,23378,14000000,1977,932
Scorsese,17000,554,Drama,Richard E. Grant,The Age of Innocence,1068,30000000,1993,0
Scorsese,17000,10000,Drama,Tom Cruise,The Color of Money,11895,13800000,1986,0
Scorsese,17000,12000,Drama,Nicolas Cage,Bringing Out the Dead,13040,55000000,1999,0
Eastwood,16000,16000,Action,Clint Eastwood,Firefox,16805,21000000,1982,0
Eastwood,16000,16000,Action,Clint Eastwood,Space Cowboys,17771,65000000,2000,0
Eastwood,16000,14000,Action,Bradley Cooper,American Sniper,16277,58800000,2014,112000
Eastwood,16000,16000,Action,Clint Eastwood,Blood Work,18635,50000000,2002,705
Eastwood,16000,16000,Action,Clint Eastwood,Absolute Power,19139,50000000,1997,1000
Eastwood,16000,29000,Biography,Leonardo DiCaprio,J. Edgar,36258,35000000,2011,16000
Eastwood,16000,13000,Biography,Matt Damon,Invictus,24458,60000000,2009,23000
Eastwood,16000,880,Biography,Johnny Cannizzaro,Jersey Boys,2281,40000000,2014,16000
Eastwood,16000,11000,Drama,Angelina Jolie Pitt,Changeling,12840,55000000,2008,14000
Eastwood,16000,18000,Drama,Kevin Spacey,Midnight in the Garden of Good and Evil,19689,30000000,1997,0
Eastwood,16000,616,Drama,John Doman,Mystic River,1942,25000000,2003,12000
Eastwood,16000,16000,Drama,Clint Eastwood,Gran Torino,17347,33000000,2008,28000
Eastwood,16000,13000,Drama,Matt Damon,Hereafter,14344,50000000,2010,16000
Eastwood,16000,23000,Drama,Paul Walker,Flags of Our Fathers,24468,90000000,2006,0
Eastwood,16000,378,Drama,Yuki Matsuzaki,Letters from Iwo Jima,751,19000000,2006,5000
Eastwood,16000,16000,Drama,Clint Eastwood,The Bridges of Madison County,27237,35000000,1995,0
Eastwood,16000,16000,Drama,Clint Eastwood,Million Dollar Baby,28830,30000000,2004,14000
Eastwood,16000,16000,Drama,Clint Eastwood,Unforgiven,28544,14400000,1992,10000
Tarantino,16000,926,Action,David Carradine,Kill Bill: Vol. 1,3983,30000000,2003,13000
Tarantino,16000,890,Action,Vivica A. Fox,Kill Bill: Vol. 2,1959,30000000,2004,0
Tarantino,16000,13000,Action,Michael Fassbender,Inglourious Basterds,36741,75000000,2009,42000
Tarantino,16000,13000,Drama,Bruce Willis,Pulp Fiction,16557,8000000,1994,45000
Tarantino,16000,46000,Drama,Craig Stark,The Hateful Eight,49912,44000000,2015,114000
Tarantino,16000,16000,Drama,Quentin Tarantino,Reservoir Dogs,28994,1200000,1992,19000
Tarantino,16000,29000,Drama,Leonardo DiCaprio,Django Unchained,40978,100000000,2012,199000
Tom Hanks,15000,15000,Comedy,Tom Hanks,That Thing You Do!,28713,26000000,1996,0
Tom Hanks,15000,15000,Comedy,Tom Hanks,Larry Crowne,16827,30000000,2011,0
J.J. Abrams,14000,26000,Action,Chris Hemsworth,Star Trek,39284,150000000,2009,19000
J.J. Abrams,14000,19000,Action,Benedict Cumberbatch,Star Trek Into Darkness,21411,190000000,2013,92000
J.J. Abrams,14000,22000,Action,Philip Seymour Hoffman,Mission: Impossible III,34817,150000000,2006,0
Spielberg,14000,11000,Action,Harrison Ford,Indiana Jones and the Temple of Doom,11898,28000000,1984,0
Spielberg,14000,11000,Action,Harrison Ford,Raiders of the Lost Ark,12906,18000000,1981,16000
Spielberg,14000,2000,Action,Toby Jones,The Adventures of Tintin,4631,135000000,2011,44000
Spielberg,14000,11000,Action,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,14959,185000000,2008,5000
Spielberg,14000,11000,Action,Harrison Ford,Indiana Jones and the Last Crusade,12884,48000000,1989,0
Spielberg,14000,610,Action,Ariana Richards,The Lost World: Jurassic Park,1635,73000000,1997,0
Spielberg,14000,15000,Action,Tom Hanks,Saving Private Ryan,44998,70000000,1998,22000
Spielberg,14000,10000,Action,Tom Cruise,Minority Report,12546,102000000,2002,0
Spielberg,14000,3000,Action,Haley Joel Osment,A.I. Artificial Intelligence,6217,100000000,2001,11000
Spielberg,14000,813,Action,Roy Scheider,Jaws,2047,8000000,1975,21000
Spielberg,14000,967,Action,Wayne Knight,Jurassic Park,2129,63000000,1993,19000
Spielberg,14000,10000,Action,Tom Cruise,War of the Worlds,12758,132000000,2005,0
Spielberg,14000,29000,Biography,Leonardo DiCaprio,Catch Me If You Can,48153,52000000,2002,15000
Spielberg,14000,14000,Biography,Liam Neeson,Schindler's List,15233,22000000,1993,41000
Spielberg,14000,23000,Biography,Joseph Gordon-Levitt,Lincoln,25517,65000000,2012,71000
Spielberg,14000,49000,Comedy,Robin Williams,Hook,64259,70000000,1991,13000
Spielberg,14000,15000,Comedy,Tom Hanks,The Terminal,16199,60000000,2004,16000
Spielberg,14000,852,Drama,Oprah Winfrey,The Color Purple,2592,15000000,1985,6000
Spielberg,14000,12000,Drama,Anthony Hopkins,Amistad,37570,36000000,1997,0
Spielberg,14000,15000,Drama,Tom Hanks,Bridge of Spies,16944,40000000,2015,55000
Spielberg,14000,559,Drama,Bob Balaban,Close Encounters of the Third Kind,1591,19400870,1977,0
Spielberg,14000,25000,Drama,Jeremy Irvine,War Horse,46726,66000000,2011,28000
Hitchcock,13000,282,Comedy,Jerry Mathers,The Trouble with Harry,1041,1200000,1955,0
Hitchcock,13000,897,Comedy,Ed Lauter,Family Plot,2811,4490375,1976,609
Hitchcock,13000,1000,Drama,Laurence Olivier,Rebecca,2888,1288000,1940,0
Hitchcock,13000,204,Drama,Roscoe Lee Browne,Topaz,753,4000000,1969,414
Stallone,13000,26000,Action,Jason Statham,The Expendables,46355,80000000,2010,57000
Stallone,13000,13000,Drama,Sylvester Stallone,Rocky Balboa,15111,24000000,2006,0
Burton,13000,920,Action,Michael Gough,Batman Returns,2899,80000000,1992,0
Burton,13000,920,Action,Michael Gough,Batman,2725,35000000,1989,12000
Burton,13000,1000,Action,Cary-Hiroyuki Tagawa,Planet of the Apes,2776,100000000,2001,0
Burton,13000,1000,Action,Cary-Hiroyuki Tagawa,Planet of the Apes,2776,100000000,2001,0
Burton,13000,12000,Action,Steve Buscemi,Big Fish,16138,70000000,2003,26000
Burton,13000,40000,Action,Johnny Depp,Alice in Wonderland,79957,200000000,2010,24000
Burton,13000,940,Animation,Martin Landau,Frankenweenie,4774,39000000,2012,25000
Burton,13000,40000,Animation,Johnny Depp,Corpse Bride,60683,40000000,2005,0
Burton,13000,11000,Biography,Christoph Waltz,Big Eyes,12418,10000000,2014,20000
Burton,13000,20000,Comedy,Natalie Portman,Mars Attacks!,22590,70000000,1996,0
Burton,13000,40000,Comedy,Johnny Depp,Charlie and the Chocolate Factory,57844,150000000,2005,0
Burton,13000,40000,Comedy,Johnny Depp,Ed Wood,56585,18000000,1994,0
Burton,13000,925,Comedy,Catherine O'Hara,Beetlejuice,1953,15000000,1988,15000
Burton,13000,40000,Comedy,Johnny Depp,Dark Shadows,80849,100000000,2012,82000
Leonard Nimoy,12000,12000,Action,Leonard Nimoy,Star Trek III: The Search for Spock,14762,17000000,1984,0
Leonard Nimoy,12000,12000,Comedy,Leonard Nimoy,Star Trek IV: The Voyage Home,15449,25000000,1986,0
Leonard Nimoy,12000,19000,Comedy,Tom Selleck,3 Men and a Baby,21499,11000000,1987,3000
Steve Buscemi,12000,778,Comedy,Kevin Corrigan,Lonesome Jim,1440,500000,2005,238
Steve Buscemi,12000,12000,Comedy,Steve Buscemi,Trees Lounge,14420,1300000,1996,872
Tony Scott,12000,10000,Action,Will Smith,Enemy of the State,11951,90000000,1998,0
Tony Scott,12000,11000,Action,Brad Pitt,True Romance,23602,13000000,1993,15000
Tony Scott,12000,18000,Action,Denzel Washington,Man on Fire,20454,70000000,2004,14000
Tony Scott,12000,18000,Action,Denzel Washington,The Taking of Pelham 1 2 3,19906,100000000,2009,0
Tony Scott,12000,10000,Action,Tom Cruise,Top Gun,13069,15000000,1986,19000
Tony Scott,12000,10000,Action,Tom Cruise,Days of Thunder,14006,60000000,1990,0
Tony Scott,12000,22000,Action,Robert De Niro,The Fan,24618,55000000,1996,0
Tony Scott,12000,18000,Action,Denzel Washington,Crimson Tide,30132,53000000,1995,0
Tony Scott,12000,18000,Action,Denzel Washington,Unstoppable,25780,100000000,2010,18000
Tony Scott,12000,936,Comedy,Dean Stockwell,Beverly Hills Cop II,4121,28000000,1987,0
Angelina Jolie Pitt,11000,769,Biography,Finn Wittrock,Unbroken,2938,65000000,2014,35000
Angelina Jolie Pitt,11000,769,Biography,Finn Wittrock,Unbroken,2938,65000000,2014,35000
Angelina Jolie Pitt,11000,11000,Drama,Brad Pitt,By the Sea,22319,10000000,2015,0
Angelina Jolie Pitt,11000,306,Drama,Jelena Jovanova,In the Land of Blood and Honey,796,13000000,2011,0
